"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""E001""	""E002""	""E003_01""	""E004""	""E004_02""	""E004_03""	""E004_04""	""E004_05""	""E004_16""	""E004_06""	""E004_07""	""E004_08""	""E004_09""	""E004_10""	""E004_12""	""E004_13""	""E004_14""	""E004_15""	""E004_15a""	""E005""	""E006""	""J001_01""	""J001_02""	""J003""	""J004""	""J005""	""J006""	""J007""	""J008""	""P001_01""	""P002""	""P005""	""P003""	""P004_01""	""P004_02""	""PP01""	""PP02_01""	""PP02_02""	""ZG01_CP""	""ZG01""	""P101_01""	""P101_02""	""P102""	""P103_01""	""P104""	""P105_01""	""P106_01""	""P106_02""	""P106_03""	""P106_04""	""SD01""	""SD02""	""SD04""	""SD04_01""	""SD04_02""	""SD04_03""	""SD04_04""	""SD04_05""	""SD04_06""	""SD04_07""	""SD04_08""	""SD04_09""	""SD04_10""	""SD04_11""	""SD04_11a""	""SD06""	""SD07""	""SD08""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""DEG_MISS""	""DEG_TIME""	""DEGRADE"""
"252			""base""	""interview""	2016-05-29 18:47:01	1	1	""4""	3	F	F	F	F	F	T	F	F	F	T	F	F	F	T	""Berliner-Zeitung""	2	2	5	4	2			3	2		3	X-9	2	4			4			0	1	4	1	4		4		5	4	3	4	2	6	2	F	F	F	F	F	F	T	F	T	F	F		2	X-9	3	T	F	21	21	26	6	70	3	73"
"254			""base""	""interview""	2016-05-29 19:03:23	2	1																												10	3	1	4			4			0	2	2	2	4		4		4	4	4	4	X-9	4	1	F	F	F	T	F	F	F	F	F	F	F		X-9	X-9	3	T	F	21	21	38	12	164	14	179"
"255			""base""	""interview""	2016-05-29 19:05:53	1	1	""3""	3	F	T	F	F	F	T	F	F	F	F	F	F	F	T	""Bild""	1	1	4	3	2			3	2		3	2	1	4			4			1	1	1	4	4		4		3	4	2	3	1	6	2	F	F	F	T	F	F	T	F	F	F	F		1	X-9	3	T	F	21	21	23	2	25	21	46"
"260			""base""	""interview""	2016-05-29 19:19:39	2	1		0	F	F	F	F	F	F	F	F	F	F	F	F	F	F		X-9	X-9									1	2	1	4			4			8	1	3	3	4		4		5	3	3	4	2	6	1	T	F	F	F	F	F	F	F	F	F	F		10	2	1	T	F	21	21	36	17	225	50	275"
"268			""base""	""interview""	2016-05-29 19:37:11	2	1																												3	2	2	4			4			2	1	2	2	4		4		2	4	2	4	2	6	2	T	F	F	F	F	F	T	F	F	F	F		1	X-9	4	T	F	21	21	31	4	41	27	68"
"270			""base""	""interview""	2016-05-29 19:40:51	2	1																												5	2	2	4			4			3	1	2	2	4		4		2	3	3	5	2	4	1	F	F	F	T	F	F	F	F	F	F	F		1	5	3	T	F	21	21	28	1	7	17	25"
"283			""base""	""interview""	2016-05-29 20:12:32	2	1																												25	2	1	4			4			3	2	2	3	4		4		4	4	3	4	1	4	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	6	T	F	21	21	31	4	41	18	59"
"285			""base""	""interview""	2016-05-29 20:18:09	2	2	""2""	2	F	F	F	F	F	T	T	F	F	F	F	F	F	F		3	1									5	2	2	4			3		""1,00""	4	1	3	2	4		4		2	2	1	4	1	6	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	2	T	F	21	21	29	10	132	38	170"
"288			""base""	""interview""	2016-05-29 20:23:12	1	2		1	F	F	F	F	F	F	F	F	F	F	F	F	T	F		1	2	5	3	2			2	2		8	2	2	4			4			4	2	2	4	4		4		2	4	2	4	2	6	2	T	F	F	F	F	F	T	F	F	F	F		7	4	1	T	F	21	21	22	1	3	2	5"
"308			""base""	""interview""	2016-05-29 20:45:11	1	1	""3""	3	F	T	F	F	F	F	T	F	F	F	F	F	F	T	""N24""	1	1	3	3	2			3	1	1	5	2	1	4			4			5	2	3	2	4		4		3	3	3	4	2	4	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	23	2	24	28	51"
